RCDTS,school_name,district,city,county,school_type,enrollment,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,pp_expenditure,zip,address_longitude,address_latitude,school_short_name,school_long_name,address_street,has_transition_program,transportation_bus,transportationel,transportation_metra,graduation_rate,sat_school_average,district_mean_graduation_rate,graduation_rate4_year,district_mean_college_enrollment_rate,college_enrollment_rate,attendance_rate_current_year,student_count,student_count_low_income,student_count_special_education,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,statistics_summary,demographics_summary,has_bilingual_services,has_refugee_services,has_hearing_impairment_services,has_visual_impairment_services,school_profile_year,safety_rating,culture_rating,school_year_readable,overall_rating_status,overall_rating,zip_right,el_connections,cta_connections,metra_connections,school_name_right
15016299025039C,Noble St Chtr-Butler College Prep - Crimson,Chicago Public Schools District 299,Chicago,Cook,High School,672,5.0,21.3,100.0,58.9,24.7,7.6,27.6,,60628,-87.602573,41.706667,NOBLE - BUTLER HS,Noble - Butler College Prep,821 E 103RD St,false,"106, 111A, 115, 34, 4",Red,Metra Electric District (ME),89.9,817,85.6,94.0,65.2,50.3,85.9,681,626,107,644,34,2,0,0,There are 681 students enrolled at NOBLE - BUTLER HS.  91.9% are Low Income Students.  15.7% are Diverse Learners.  3.2% are Limited English Learners.,The largest demographic at NOBLE - BUTLER HS is Black.  This demographic makes up 94.6% of the student population.  The second greatest demographic is Hispanic at 5%.,false,false,false,false,2025,VERY WEAK,Partially Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60628,1,5,1,Noble St Chtr-Butler College Prep - Crimson
15016299025040C,Noble St Chtr-Baker Campus,Chicago Public Schools District 299,Chicago,Cook,High School,279,3.5,21.1,100.0,59.7,21.4,*,16.9,,60617,-87.556201,41.734622,NOBLE - BAKER HS,Noble - Baker College Prep,2710 E 89TH St,false,"26, 30, 71, 87, 95, N5",Red,"",87.2,837,85.6,78.5,65.2,61.0,83.1,309,289,75,241,61,2,0,0,There are 309 students enrolled at NOBLE - BAKER HS.  93.5% are Low Income Students.  24.3% are Diverse Learners.  15.5% are Limited English Learners.,The largest demographic at NOBLE - BAKER HS is Black.  This demographic makes up 78% of the student population.  The second greatest demographic is Hispanic at 19.7%.,,,false,false,2025,VERY WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60617,1,6,1,Noble St Chtr-Baker Campus
15016299025085C,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Chicago Public Schools District 299,Chicago,Cook,High School,655,10.5,,96.7,51.3,24.1,*,24.1,,60632,-87.711025,41.801762,ACERO - SOTO HS,Acero Charter Schools - Victoria Soto,5025 S ST LOUIS Ave,false,"47, 51, 52, 52A, 62",Orange,"",90.8,872,85.6,88.3,65.2,54.9,83.0,554,504,87,1,551,1,1,0,There are 554 students enrolled at ACERO - SOTO HS.  91% are Low Income Students.  15.7% are Diverse Learners.  55.6% are Limited English Learners.,The largest demographic at ACERO - SOTO HS is Hispanic.  This demographic makes up 99.5% of the student population.  The second greatest demographic is White at 0.2%.,true,,false,false,2025,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60632,1,5,1,Acero Chtr Sch Network -  Major Hector P Garcia MD H S
15016299025073C,YCCS Chtr - Chatham,Chicago Public Schools District 299,Chicago,Cook,High School,102,24.6,,71.4,88.2,*,*,*,,60619,-87.60698,41.730131,YCCS - CHATHAM,YCCS-Chatham AcademyHS,9035 S LANGLEY Ave,false,"3, 4, 87, 95, N5",Red,"",,0,,"",65.2,11.1,55.4,95,91,20,90,4,1,0,0,There are 95 students enrolled at YCCS - CHATHAM.  95.8% are Low Income Students.  21.1% are Diverse Learners.  2.1% are Limited English Learners.,The largest demographic at YCCS - CHATHAM is Black.  This demographic makes up 94.7% of the student population.  The second greatest demographic is Hispanic at 4.2%.,false,,false,false,2025,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60619,1,5,1,YCCS Chtr - Chatham
15016299025054C,YCCS-Scholastic Achievement HS,Chicago Public Schools District 299,Chicago,Cook,High School,116,3.9,14.3,100.0,74.8,*,*,*,,60644,-87.742539,41.880447,YCCS - SCHOLASTIC ACHIEVEMENT,YCCS- Academy of Scholastic Achievement HS,4651 W MADISON St,false,"126, 20, 54","Blue, Green","",,764,,"",65.2,12.1,61.6,156,133,37,147,9,0,0,0,There are 156 students enrolled at YCCS - SCHOLASTIC ACHIEVEMENT.  85.3% are Low Income Students.  23.7% are Diverse Learners.  0.6% are Limited English Learners.,The largest demographic at YCCS - SCHOLASTIC ACHIEVEMENT is Black.  This demographic makes up 94.2% of the student population.  The second greatest demographic is Hispanic at 5.8%.,false,,false,false,2025,STRONG,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60644,2,3,1,YCCS-Scholastic Achievement HS
,,,,,,,,,,,,,,,,-87.625331,41.841331,YCCS - MCKINLEY,YCCS- McKinley Lakeside Leadership HS,2920 S WABASH Ave,false,"1, 21, 24, 29, 3, 31, 4","Green, Red","",,0,,"",65.2,8.2,73.2,99,99,23,95,2,1,0,1,There are 99 students enrolled at YCCS - MCKINLEY.  100% are Low Income Students.  23.2% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at YCCS - MCKINLEY is Black.  This demographic makes up 96% of the student population.  The second greatest demographic is Hispanic at 2%.,false,,false,false,2025,WEAK,Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60616,2,7,1,""
15016299025056C,YCCS-ASPIRA Pantoja Alt HS,Chicago Public Schools District 299,Chicago,Cook,High School,196,8.6,10.0,30.0,95.3,*,*,*,,60641,-87.727137,41.938187,YCCS - ASPIRA PANTOJA,"YCCS-ASPIRA,Antonia Pantoja Alternative HS",3121 N PULASKI Rd,false,"53, 56, 76, 77",Blue,"",,760,,"",65.2,22.6,67.0,165,149,22,7,152,3,1,1,There are 165 students enrolled at YCCS - ASPIRA PANTOJA.  90.3% are Low Income Students.  13.3% are Diverse Learners.  58.8% are Limited English Learners.,The largest demographic at YCCS - ASPIRA PANTOJA is Hispanic.  This demographic makes up 92.1% of the student population.  The second greatest demographic is Black at 4.2%.,true,true,false,false,2025,WEAK,Not Yet Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60641,1,4,1,YCCS-ASPIRA Pantoja Alt HS
15016299025057C,YCCS-Association House,Chicago Public Schools District 299,Chicago,Cook,High School,101,1.0,100.0,50.0,98.0,*,*,*,,60651,-87.70686,41.901572,YCCS - ASSOCIATION HOUSE,YCCS-Association House HS,1116 N KEDZIE Ave,false,"52, 65, 66, 70, 82, 94",Blue,"",,763,,"",65.2,10.8,62.5,93,87,22,28,62,1,0,1,There are 93 students enrolled at YCCS - ASSOCIATION HOUSE.  93.5% are Low Income Students.  23.7% are Diverse Learners.  32.3% are Limited English Learners.,The largest demographic at YCCS - ASSOCIATION HOUSE is Hispanic.  This demographic makes up 66.7% of the student population.  The second greatest demographic is Black at 30.1%.,true,,false,false,2025,NEUTRAL,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60651,1,6,1,YCCS-Association House
15016299025037C,Noble St Chtr-Hansberry College Prep - Silver,Chicago Public Schools District 299,Chicago,Cook,High School,527,4.1,27.3,100.0,56.0,26.0,*,26.8,,60620,-87.650987,41.734442,NOBLE - HANSBERRY HS,Noble - Hansberry College Prep,8748 S ABERDEEN St,false,"24, 44, 87, 8A",Red,Rock Island District (RI),87.3,810,85.6,84.7,65.2,70.8,86.5,539,457,111,528,6,0,0,0,There are 539 students enrolled at NOBLE - HANSBERRY HS.  84.8% are Low Income Students.  20.6% are Diverse Learners.  1.5% are Limited English Learners.,The largest demographic at NOBLE - HANSBERRY HS is Black.  This demographic makes up 98% of the student population.  The second greatest demographic is Hispanic at 1.1%.,false,false,false,false,2025,NOT ENOUGH DATA,Not Yet Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60620,1,4,1,Noble St Chtr-Hansberry College Prep - Silver
15016299025038C,Noble St Chtr-DRW Trading College Prep,Chicago Public Schools District 299,Chicago,Cook,High School,313,6.5,21.4,100.0,72.7,*,*,21.7,,60624,-87.711654,41.869328,NOBLE - DRW HS,Noble - DRW College Prep,931 S HOMAN Ave,false,"12, 126, 52, 7, 82",Blue,"",80.7,830,85.6,64.0,65.2,57.1,75.6,265,231,66,254,8,1,0,0,There are 265 students enrolled at NOBLE - DRW HS.  87.2% are Low Income Students.  24.9% are Diverse Learners.  1.1% are Limited English Learners.,The largest demographic at NOBLE - DRW HS is Black.  This demographic makes up 95.8% of the student population.  The second greatest demographic is Hispanic at 3%.,false,,false,false,2025,NOT ENOUGH DATA,Not Enough Data,School Year 2024-2025,Not Applicable,Inability to Rate,60624,1,5,1,Noble St Chtr-DRW Trading College Prep
