RCDTS,school_name,district,city,county,school_type,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year
15-016-2990-25-085C,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Chicago Public Schools District 299,Chicago,Cook,High School,655,25.6,10.5,,96.7,,51.3,24.1,*,24.1,2025
15-016-2990-25-086C,Acero Chtr Sch Network Victoria Soto Campus,Chicago Public Schools District 299,Chicago,Cook,High School,552,24.4,9.7,4.8,96.5,,54.5,15.2,*,16.7,2025
15-016-2990-25-049C,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,Chicago Public Schools District 299,Chicago,Cook,High School,432,15.3,10.9,,100.0,,48.3,20.4,10.0,19.8,2025
15-016-2990-25-0848,Air Force Acad High School,Chicago Public Schools District 299,Chicago,Cook,High School,130,11.3,16.8,,38.9,,42.3,*,*,*,2025
15-016-2990-25-0849,Alcott College Prep,Chicago Public Schools District 299,Chicago,Cook,High School,359,21.6,12.1,3.4,56.8,,53.8,*,*,26.2,2025
15-016-2990-25-0001,Amundsen High School,Chicago Public Schools District 299,Chicago,Cook,High School,1420,26.3,13.4,4.8,55.2,,52.4,70.3,50.6,62.4,2025
15-016-2990-25-079C,Aspira Charter - Business and Finance HS,Chicago Public Schools District 299,Chicago,Cook,High School,421,16.2,6.0,8.1,100.0,,59.3,16.0,*,16.0,2025
15-016-2990-25-074C,ASPIRA Charter - Early College Prep HS,Chicago Public Schools District 299,Chicago,Cook,High School,278,14.7,6.8,19.0,100.0,,55.9,18.8,*,23.4,2025
15-016-2990-25-0844,Austin College and Career Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,145,16.1,10.3,10.6,26.2,,87.4,*,*,*,2025
15-016-2990-25-0014,Back of The Yards IB HS,Chicago Public Schools District 299,Chicago,Cook,High School,1014,23.0,8.2,13.1,49.6,,48.7,48.5,28.3,43.8,2025
15-016-2990-25-0003,Bogan High School,Chicago Public Schools District 299,Chicago,Cook,High School,599,20.8,17.9,2.2,60.5,,62.5,10.3,*,8.3,2025
15-016-2990-25-0824,Bowen High School,Chicago Public Schools District 299,Chicago,Cook,High School,230,26.7,12.2,4.8,37.0,,77.0,*,*,*,2025
15-016-2990-25-0834,Bronzeville Scholastic HS,Chicago Public Schools District 299,Chicago,Cook,High School,112,13.3,12.5,10.6,57.1,,59.5,*,*,*,2025
15-016-2990-25-0788,Brooks College Prep Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,992,23.8,16.0,,61.1,,44.8,88.2,64.6,76.3,2025
15-016-2990-25-0006,Carver Military Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,415,22.2,15.7,4.8,44.1,,60.2,15.3,*,25.5,2025
15-016-2990-25-0820,Chicago Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,569,24.8,10.4,7.2,58.9,,37.7,53.8,23.9,42.7,2025
15-016-2990-25-0772,Chicago HS for Agricult Sciences,Chicago Public Schools District 299,Chicago,Cook,High School,760,21.1,17.2,,48.7,,39.2,53.4,25.8,53.1,2025
15-016-2990-25-0851,Chicago HS for the Arts,Chicago Public Schools District 299,Chicago,Cook,High School,572,23.1,7.6,10.7,87.7,,20.6,58.9,22.3,46.4,2025
