school_name,district,city,county,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year,zip,address_longitude,address_latitude,address_street,has_transition_program,transportation_bus,transportationel,transportation_metra,graduation_rate,sat_school_average,district_mean_graduation_rate,graduation_rate4_year,district_mean_college_enrollment_rate,college_enrollment_rate,attendance_rate_current_year,student_count,student_count_low_income,student_count_special_education,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,statistics_summary,demographics_summary,has_bilingual_services,has_refugee_services,has_hearing_impairment_services,has_visual_impairment_services,school_profile_year,safety_rating,culture_rating,school_year_readable,overall_rating_status,overall_rating,zip_right,el_connections,cta_connections,metra_connections,year_right,school_name_right,neighborhood
Amundsen High School,Chicago Public Schools District 299,Chicago,Cook,1420.0,26.3,13.4,4.8,55.2,,52.4,70.3,50.6,62.4,2025.0,60625.0,-87.679484,41.975067,5110 N DAMEN Ave,No,,Brown,,89.5,998.0,85.6,93.2,65.2,77.7,85.6,1420.0,417.0,236.0,94.0,507.0,641.0,104.0,0.0,There are 1420 students enrolled at AMUNDSEN HS.  29.4% are Low Income Students.  16.6% are Diverse Learners.  14.9% are Limited English Learners.,The largest demographic at AMUNDSEN HS is White.  This demographic makes up 45.1% of the student population.  The second greatest demographic is Hispanic at 35.7%.,,,No,No,2025.0,WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60625.0,Yes,3.0,Yes,2025.0,Amundsen High School,Lincoln Square
Amundsen High School,City of Chicago SD 299,Chicago,Cook,1289.0,,,,,,32.4,25.8,31.6,24.6,2019.0,60625.0,-87.679484,41.975067,5110 N DAMEN Ave,No,,Brown,,89.5,998.0,85.6,93.2,65.2,77.7,85.6,1420.0,417.0,236.0,94.0,507.0,641.0,104.0,0.0,There are 1420 students enrolled at AMUNDSEN HS.  29.4% are Low Income Students.  16.6% are Diverse Learners.  14.9% are Limited English Learners.,The largest demographic at AMUNDSEN HS is White.  This demographic makes up 45.1% of the student population.  The second greatest demographic is Hispanic at 35.7%.,,,No,No,2025.0,WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60625.0,Yes,3.0,Yes,2025.0,Amundsen High School,Lincoln Square
Amundsen High School,City of Chicago SD 299,Chicago,Cook,1382.0,,,,,,18.6,,,,2020.0,60625.0,-87.679484,41.975067,5110 N DAMEN Ave,No,,Brown,,89.5,998.0,85.6,93.2,65.2,77.7,85.6,1420.0,417.0,236.0,94.0,507.0,641.0,104.0,0.0,There are 1420 students enrolled at AMUNDSEN HS.  29.4% are Low Income Students.  16.6% are Diverse Learners.  14.9% are Limited English Learners.,The largest demographic at AMUNDSEN HS is White.  This demographic makes up 45.1% of the student population.  The second greatest demographic is Hispanic at 35.7%.,,,No,No,2025.0,WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60625.0,Yes,3.0,Yes,2025.0,Amundsen High School,Lincoln Square
Amundsen High School,City of Chicago SD 299,Chicago,Cook,1454.0,27.4,,,,,43.1,25.9,23.6,30.4,2021.0,60625.0,-87.679484,41.975067,5110 N DAMEN Ave,No,,Brown,,89.5,998.0,85.6,93.2,65.2,77.7,85.6,1420.0,417.0,236.0,94.0,507.0,641.0,104.0,0.0,There are 1420 students enrolled at AMUNDSEN HS.  29.4% are Low Income Students.  16.6% are Diverse Learners.  14.9% are Limited English Learners.,The largest demographic at AMUNDSEN HS is White.  This demographic makes up 45.1% of the student population.  The second greatest demographic is Hispanic at 35.7%.,,,No,No,2025.0,WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60625.0,Yes,3.0,Yes,2025.0,Amundsen High School,Lincoln Square
Amundsen High School,City of Chicago SD 299,Chicago,Cook,1486.0,27.0,,,,,52.1,32.0,31.1,55.7,2022.0,60625.0,-87.679484,41.975067,5110 N DAMEN Ave,No,,Brown,,89.5,998.0,85.6,93.2,65.2,77.7,85.6,1420.0,417.0,236.0,94.0,507.0,641.0,104.0,0.0,There are 1420 students enrolled at AMUNDSEN HS.  29.4% are Low Income Students.  16.6% are Diverse Learners.  14.9% are Limited English Learners.,The largest demographic at AMUNDSEN HS is White.  This demographic makes up 45.1% of the student population.  The second greatest demographic is Hispanic at 35.7%.,,,No,No,2025.0,WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60625.0,Yes,3.0,Yes,2025.0,Amundsen High School,Lincoln Square
Amundsen High School,City of Chicago SD 299,Chicago,Cook,1494.0,27.0,,,,,53.3,34.5,30.4,45.9,2023.0,60625.0,-87.679484,41.975067,5110 N DAMEN Ave,No,,Brown,,89.5,998.0,85.6,93.2,65.2,77.7,85.6,1420.0,417.0,236.0,94.0,507.0,641.0,104.0,0.0,There are 1420 students enrolled at AMUNDSEN HS.  29.4% are Low Income Students.  16.6% are Diverse Learners.  14.9% are Limited English Learners.,The largest demographic at AMUNDSEN HS is White.  This demographic makes up 45.1% of the student population.  The second greatest demographic is Hispanic at 35.7%.,,,No,No,2025.0,WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60625.0,Yes,3.0,Yes,2025.0,Amundsen High School,Lincoln Square
Amundsen High School,Chicago Public Schools District 299,Chicago,Cook,1500.0,27.6,12.2,2.0,60.0,,49.7,38.6,38.7,48.5,2024.0,60625.0,-87.679484,41.975067,5110 N DAMEN Ave,No,,Brown,,89.5,998.0,85.6,93.2,65.2,77.7,85.6,1420.0,417.0,236.0,94.0,507.0,641.0,104.0,0.0,There are 1420 students enrolled at AMUNDSEN HS.  29.4% are Low Income Students.  16.6% are Diverse Learners.  14.9% are Limited English Learners.,The largest demographic at AMUNDSEN HS is White.  This demographic makes up 45.1% of the student population.  The second greatest demographic is Hispanic at 35.7%.,,,No,No,2025.0,WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60625.0,Yes,3.0,Yes,2025.0,Amundsen High School,Lincoln Square
Bogan High School,Chicago Public Schools District 299,Chicago,Cook,599.0,20.8,17.9,2.2,60.5,,62.5,10.3,*,8.3,2025.0,60652.0,-87.721097,41.749376,3939 W 79TH St,No,,,,71.3,799.0,85.6,70.3,65.2,44.5,76.7,536.0,394.0,140.0,267.0,259.0,5.0,0.0,2.0,There are 536 students enrolled at BOGAN HS.  73.5% are Low Income Students.  26.1% are Diverse Learners.  28% are Limited English Learners.,The largest demographic at BOGAN HS is Black.  This demographic makes up 49.8% of the student population.  The second greatest demographic is Hispanic at 48.3%.,,,No,No,2025.0,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60652.0,No,3.0,No,2025.0,Bogan High School,Ashburn
Bogan High School,City of Chicago SD 299,Chicago,Cook,828.0,,,,,,78.9,3.9,1.1,3.2,2019.0,60652.0,-87.721097,41.749376,3939 W 79TH St,No,,,,71.3,799.0,85.6,70.3,65.2,44.5,76.7,536.0,394.0,140.0,267.0,259.0,5.0,0.0,2.0,There are 536 students enrolled at BOGAN HS.  73.5% are Low Income Students.  26.1% are Diverse Learners.  28% are Limited English Learners.,The largest demographic at BOGAN HS is Black.  This demographic makes up 49.8% of the student population.  The second greatest demographic is Hispanic at 48.3%.,,,No,No,2025.0,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60652.0,No,3.0,No,2025.0,Bogan High School,Ashburn
Bogan High School,City of Chicago SD 299,Chicago,Cook,734.0,,,,,,38.5,,,,2020.0,60652.0,-87.721097,41.749376,3939 W 79TH St,No,,,,71.3,799.0,85.6,70.3,65.2,44.5,76.7,536.0,394.0,140.0,267.0,259.0,5.0,0.0,2.0,There are 536 students enrolled at BOGAN HS.  73.5% are Low Income Students.  26.1% are Diverse Learners.  28% are Limited English Learners.,The largest demographic at BOGAN HS is Black.  This demographic makes up 49.8% of the student population.  The second greatest demographic is Hispanic at 48.3%.,,,No,No,2025.0,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60652.0,No,3.0,No,2025.0,Bogan High School,Ashburn
Bogan High School,City of Chicago SD 299,Chicago,Cook,731.0,22.6,,,,,67.2,2.8,1.7,4.5,2021.0,60652.0,-87.721097,41.749376,3939 W 79TH St,No,,,,71.3,799.0,85.6,70.3,65.2,44.5,76.7,536.0,394.0,140.0,267.0,259.0,5.0,0.0,2.0,There are 536 students enrolled at BOGAN HS.  73.5% are Low Income Students.  26.1% are Diverse Learners.  28% are Limited English Learners.,The largest demographic at BOGAN HS is Black.  This demographic makes up 49.8% of the student population.  The second greatest demographic is Hispanic at 48.3%.,,,No,No,2025.0,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60652.0,No,3.0,No,2025.0,Bogan High School,Ashburn
Bogan High School,City of Chicago SD 299,Chicago,Cook,746.0,21.1,,,,,77.1,7.6,2.7,10.2,2022.0,60652.0,-87.721097,41.749376,3939 W 79TH St,No,,,,71.3,799.0,85.6,70.3,65.2,44.5,76.7,536.0,394.0,140.0,267.0,259.0,5.0,0.0,2.0,There are 536 students enrolled at BOGAN HS.  73.5% are Low Income Students.  26.1% are Diverse Learners.  28% are Limited English Learners.,The largest demographic at BOGAN HS is Black.  This demographic makes up 49.8% of the student population.  The second greatest demographic is Hispanic at 48.3%.,,,No,No,2025.0,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60652.0,No,3.0,No,2025.0,Bogan High School,Ashburn
Bogan High School,City of Chicago SD 299,Chicago,Cook,643.0,21.1,,,,,68.0,3.4,0.6,14.7,2023.0,60652.0,-87.721097,41.749376,3939 W 79TH St,No,,,,71.3,799.0,85.6,70.3,65.2,44.5,76.7,536.0,394.0,140.0,267.0,259.0,5.0,0.0,2.0,There are 536 students enrolled at BOGAN HS.  73.5% are Low Income Students.  26.1% are Diverse Learners.  28% are Limited English Learners.,The largest demographic at BOGAN HS is Black.  This demographic makes up 49.8% of the student population.  The second greatest demographic is Hispanic at 48.3%.,,,No,No,2025.0,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60652.0,No,3.0,No,2025.0,Bogan High School,Ashburn
Bogan High School,Chicago Public Schools District 299,Chicago,Cook,575.0,18.5,16.0,1.9,50.0,,65.6,6.0,*,12.3,2024.0,60652.0,-87.721097,41.749376,3939 W 79TH St,No,,,,71.3,799.0,85.6,70.3,65.2,44.5,76.7,536.0,394.0,140.0,267.0,259.0,5.0,0.0,2.0,There are 536 students enrolled at BOGAN HS.  73.5% are Low Income Students.  26.1% are Diverse Learners.  28% are Limited English Learners.,The largest demographic at BOGAN HS is Black.  This demographic makes up 49.8% of the student population.  The second greatest demographic is Hispanic at 48.3%.,,,No,No,2025.0,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60652.0,No,3.0,No,2025.0,Bogan High School,Ashburn
