school_name,district,city,county,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year,zip,address_longitude,address_latitude,address_street,has_transition_program,transportation_bus,transportationel,transportation_metra,graduation_rate,sat_school_average,district_mean_graduation_rate,graduation_rate4_year,district_mean_college_enrollment_rate,college_enrollment_rate,attendance_rate_current_year,student_count,student_count_low_income,student_count_special_education,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,statistics_summary,demographics_summary,has_bilingual_services,has_refugee_services,has_hearing_impairment_services,has_visual_impairment_services,school_profile_year,safety_rating,culture_rating,school_year_readable,overall_rating_status,overall_rating,zip_right,el_connections,cta_connections,metra_connections,year_right,school_name_right,neighborhood
Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,481.0,,,,,,23.3,8.5,18.6,7.4,2019.0,60827.0,-87.59062,41.65629,13100 S DOTY Ave,No,,Red,,89.0,873.0,85.6,85.1,65.2,63.8,86.5,402.0,323.0,48.0,167.0,222.0,10.0,0.0,1.0,There are 402 students enrolled at CARVER MILITARY HS.  80.3% are Low Income Students.  11.9% are Diverse Learners.  24.9% are Limited English Learners.,The largest demographic at CARVER MILITARY HS is Hispanic.  This demographic makes up 55.2% of the student population.  The second greatest demographic is Black at 41.5%.,,,No,No,2025.0,WEAK,Partially Organized,School Year 2024-2025,Good Standing,Inability to Rate,60827.0,Yes,2.0,Yes,2025.0,Carver Military Academy HS,Riverdale
Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,479.0,,,,,,12.9,,,,2020.0,60827.0,-87.59062,41.65629,13100 S DOTY Ave,No,,Red,,89.0,873.0,85.6,85.1,65.2,63.8,86.5,402.0,323.0,48.0,167.0,222.0,10.0,0.0,1.0,There are 402 students enrolled at CARVER MILITARY HS.  80.3% are Low Income Students.  11.9% are Diverse Learners.  24.9% are Limited English Learners.,The largest demographic at CARVER MILITARY HS is Hispanic.  This demographic makes up 55.2% of the student population.  The second greatest demographic is Black at 41.5%.,,,No,No,2025.0,WEAK,Partially Organized,School Year 2024-2025,Good Standing,Inability to Rate,60827.0,Yes,2.0,Yes,2025.0,Carver Military Academy HS,Riverdale
Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,435.0,21.5,,,,,48.0,10.8,5.4,,2021.0,60827.0,-87.59062,41.65629,13100 S DOTY Ave,No,,Red,,89.0,873.0,85.6,85.1,65.2,63.8,86.5,402.0,323.0,48.0,167.0,222.0,10.0,0.0,1.0,There are 402 students enrolled at CARVER MILITARY HS.  80.3% are Low Income Students.  11.9% are Diverse Learners.  24.9% are Limited English Learners.,The largest demographic at CARVER MILITARY HS is Hispanic.  This demographic makes up 55.2% of the student population.  The second greatest demographic is Black at 41.5%.,,,No,No,2025.0,WEAK,Partially Organized,School Year 2024-2025,Good Standing,Inability to Rate,60827.0,Yes,2.0,Yes,2025.0,Carver Military Academy HS,Riverdale
Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,407.0,20.3,,,,,49.1,9.0,7.2,29.3,2022.0,60827.0,-87.59062,41.65629,13100 S DOTY Ave,No,,Red,,89.0,873.0,85.6,85.1,65.2,63.8,86.5,402.0,323.0,48.0,167.0,222.0,10.0,0.0,1.0,There are 402 students enrolled at CARVER MILITARY HS.  80.3% are Low Income Students.  11.9% are Diverse Learners.  24.9% are Limited English Learners.,The largest demographic at CARVER MILITARY HS is Hispanic.  This demographic makes up 55.2% of the student population.  The second greatest demographic is Black at 41.5%.,,,No,No,2025.0,WEAK,Partially Organized,School Year 2024-2025,Good Standing,Inability to Rate,60827.0,Yes,2.0,Yes,2025.0,Carver Military Academy HS,Riverdale
Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,410.0,21.7,,,,,50.4,13.0,6.5,21.9,2023.0,60827.0,-87.59062,41.65629,13100 S DOTY Ave,No,,Red,,89.0,873.0,85.6,85.1,65.2,63.8,86.5,402.0,323.0,48.0,167.0,222.0,10.0,0.0,1.0,There are 402 students enrolled at CARVER MILITARY HS.  80.3% are Low Income Students.  11.9% are Diverse Learners.  24.9% are Limited English Learners.,The largest demographic at CARVER MILITARY HS is Hispanic.  This demographic makes up 55.2% of the student population.  The second greatest demographic is Black at 41.5%.,,,No,No,2025.0,WEAK,Partially Organized,School Year 2024-2025,Good Standing,Inability to Rate,60827.0,Yes,2.0,Yes,2025.0,Carver Military Academy HS,Riverdale
Carver Military Academy HS,Chicago Public Schools District 299,Chicago,Cook,407.0,21.7,14.5,3.3,31.1,,57.9,*,*,22.9,2024.0,60827.0,-87.59062,41.65629,13100 S DOTY Ave,No,,Red,,89.0,873.0,85.6,85.1,65.2,63.8,86.5,402.0,323.0,48.0,167.0,222.0,10.0,0.0,1.0,There are 402 students enrolled at CARVER MILITARY HS.  80.3% are Low Income Students.  11.9% are Diverse Learners.  24.9% are Limited English Learners.,The largest demographic at CARVER MILITARY HS is Hispanic.  This demographic makes up 55.2% of the student population.  The second greatest demographic is Black at 41.5%.,,,No,No,2025.0,WEAK,Partially Organized,School Year 2024-2025,Good Standing,Inability to Rate,60827.0,Yes,2.0,Yes,2025.0,Carver Military Academy HS,Riverdale
Farragut Career Academy HS,Chicago Public Schools District 299,Chicago,Cook,423.0,19.5,12.5,4.5,38.1,,72.0,25.0,*,20.0,2025.0,60623.0,-87.708706,41.84856,2345 S CHRISTIANA Ave,No,,Pink,,77.6,814.0,85.6,70.4,65.2,82.4,70.4,391.0,371.0,98.0,56.0,330.0,2.0,0.0,1.0,There are 391 students enrolled at FARRAGUT HS.  94.9% are Low Income Students.  25.1% are Diverse Learners.  46.3% are Limited English Learners.,The largest demographic at FARRAGUT HS is Hispanic.  This demographic makes up 84.4% of the student population.  The second greatest demographic is Black at 14.3%.,,,No,No,2025.0,VERY WEAK,Not Yet Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60623.0,Yes,4.0,Yes,2025.0,Farragut Career Academy HS,Little Village
Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,651.0,,,,,,62.9,6.2,5.1,3.4,2019.0,60623.0,-87.708706,41.84856,2345 S CHRISTIANA Ave,No,,Pink,,77.6,814.0,85.6,70.4,65.2,82.4,70.4,391.0,371.0,98.0,56.0,330.0,2.0,0.0,1.0,There are 391 students enrolled at FARRAGUT HS.  94.9% are Low Income Students.  25.1% are Diverse Learners.  46.3% are Limited English Learners.,The largest demographic at FARRAGUT HS is Hispanic.  This demographic makes up 84.4% of the student population.  The second greatest demographic is Black at 14.3%.,,,No,No,2025.0,VERY WEAK,Not Yet Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60623.0,Yes,4.0,Yes,2025.0,Farragut Career Academy HS,Little Village
Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,560.0,,,,,,46.3,,,,2020.0,60623.0,-87.708706,41.84856,2345 S CHRISTIANA Ave,No,,Pink,,77.6,814.0,85.6,70.4,65.2,82.4,70.4,391.0,371.0,98.0,56.0,330.0,2.0,0.0,1.0,There are 391 students enrolled at FARRAGUT HS.  94.9% are Low Income Students.  25.1% are Diverse Learners.  46.3% are Limited English Learners.,The largest demographic at FARRAGUT HS is Hispanic.  This demographic makes up 84.4% of the student population.  The second greatest demographic is Black at 14.3%.,,,No,No,2025.0,VERY WEAK,Not Yet Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60623.0,Yes,4.0,Yes,2025.0,Farragut Career Academy HS,Little Village
Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,532.0,24.9,,,,,65.3,2.6,1.7,0.0,2021.0,60623.0,-87.708706,41.84856,2345 S CHRISTIANA Ave,No,,Pink,,77.6,814.0,85.6,70.4,65.2,82.4,70.4,391.0,371.0,98.0,56.0,330.0,2.0,0.0,1.0,There are 391 students enrolled at FARRAGUT HS.  94.9% are Low Income Students.  25.1% are Diverse Learners.  46.3% are Limited English Learners.,The largest demographic at FARRAGUT HS is Hispanic.  This demographic makes up 84.4% of the student population.  The second greatest demographic is Black at 14.3%.,,,No,No,2025.0,VERY WEAK,Not Yet Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60623.0,Yes,4.0,Yes,2025.0,Farragut Career Academy HS,Little Village
