RCDTS,school_name,district,city,county,school_type,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year
150162990250001,Amundsen High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1454,27.4,,,,43.1,25.9,23.6,30.4,2021
150162990250003,Bogan High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,731,22.6,,,,67.2,2.8,1.7,4.5,2021
150162990250006,Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,435,21.5,,,,48.0,10.8,5.4,,2021
150162990250011,Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,532,24.9,,,,65.3,2.6,1.7,0.0,2021
150162990250012,Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,284,31.4,,,,78.0,1.6,1.6,0.0,2021
150162990250013,Foreman High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,598,21.9,,,,60.3,2.4,4.0,2.4,2021
150162990250014,Back of The Yards IB HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1075,25.1,,,,33.6,17.2,21.5,25.0,2021
150162990250015,Gage Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,317,18.9,,,,70.1,2.8,0.9,1.6,2021
150162990250016,Harlan Community Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,294,25.8,,,,68.1,7.1,2.4,1.5,2021
150162990250017,Harper High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,21,6.1,,,,38.1,,,,2021
150162990250019,Hirsch Metropolitan High Schoo,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,84,14.4,,,,71.8,3.3,3.3,8.3,2021
150162990250020,Hubbard High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1721,28.4,,,,35.2,9.4,5.6,9.6,2021
150162990250021,Hyde Park Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,734,20.8,,,,62.3,1.2,0.0,0.0,2021
150162990250022,Thomas Kelly College Preparato,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1769,24.4,,,,54.6,9.0,10.4,12.8,2021
150162990250023,Kelvyn Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,384,17.7,,,,13.4,4.8,2.5,8.1,2021
150162990250024,Kennedy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1467,25.1,,,,45.8,16.3,13.0,15.9,2021
150162990250025,Kenwood Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,2116,28.6,,,,31.2,41.9,33.6,69.8,2021
150162990250026,Lake View High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1352,25.7,,,,50.9,8.8,9.1,,2021
150162990250027,Lane Technical High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,4425,28.5,,,,15.6,85.3,82.2,64.0,2021
150162990250029,Marshall Metropolitan High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,211,19.7,,,,81.1,0.0,1.4,0.0,2021
150162990250030,Mather High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1619,24.8,,,,48.3,13.9,12.9,0.0,2021
